Derek Thomas,-0.00096,0.040218,0.006647, Conservative
Desmond Swayne,-0.011474,0.010226,-0.021447, Conservative
Dominic Grieve,0.043133,0.064082,0.044126, Conservative
Dominic Raab,0.057184,-0.011708,-0.026482, Conservative
Edward Argar,-0.006268,0.014416,-0.038601, Conservative
Edward Garnier,-0.001343,0.029849,-0.044469, Conservative
Edward Leigh,0.053586,0.057199,-0.085646, Conservative
Edward Timpson,0.028394,0.012745,0.02312, Conservative
Edward Vaizey,0.126719,-0.034921,0.025455, Conservative
Elizabeth Truss,0.041213,-0.14865,0.001572, Conservative
Eric Pickles,-0.037746,-0.070166,-0.106288, Conservative
Fiona Bruce,0.02771,-0.008329,-0.063984, Conservative
Flick Drummond,0.007313,0.011253,-0.004226, Conservative
Gareth Johnson,0.010998,-0.001517,0.031458, Conservative
Gary Streeter,0.008106,-0.007081,-0.049634, Conservative
Gavin Barwell,-0.031823,0.014131,-0.075726, Conservative
Gavin Williamson,-0.024589,0.023366,-0.028965, Conservative
Geoffrey Clifton Brown,0.018848,0.068692,-0.028787, Conservative
Geoffrey Cox,0.048405,0.057894,0.093625, Conservative
George Eustice,-0.070458,0.000028,0.044304, Conservative
George Freeman,0.056729,-0.029131,-0.030625, Conservative
George Hollingbery,0.023448,-0.099763,-0.086935, Conservative
George Osborne,-0.084635,0.263154,0.225736, Democratic Unionist Party
Gerald Howarth,-0.131748,-0.052701,0.005179, Conservative
Glyn Davies,0.028072,0.023161,-0.050016, Conservative
Gordon Henderson,0.004724,-0.007788,-0.013884, Conservative
Graham Brady,0.048793,-0.028797,0.03598, Conservative
Graham Evans,-0.006409,0.007212,-0.02936, Conservative
Graham Stuart,0.129862,0.053477,0.006763, Conservative
Grant Shapps,0.006633,0.026676,-0.038886, Conservative
Greg Clark,-0.086268,0.078352,0.058423, Conservative
Greg Hands,-0.059435,0.061968,-0.053731, Conservative
Greg Knight,-0.130245,0.024988,-0.045956, Conservative
Guto Bebb,-0.002803,-0.0533,-0.062685, Conservative
Guy Opperman,-0.004034,0.062561,0.083234, Conservative
Harriett Baldwin,-0.001441,0.038944,0.023939, Conservative
Heather Wheeler,-0.141172,0.01735,-0.005502, Conservative
Heidi Allen,-0.005612,-0.053938,-0.02251, Conservative
Helen Grant,-0.053723,0.021484,-0.022061, Conservative
Helen Whately,-0.010258,0.002857,-0.002882, Conservative
Henry Bellingham,-0.023841,-0.014381,0.012184, Conservative
