Ben Bradley, Conservative
Karen Bradley, Conservative
Graham Brady, Conservative
Jack Brereton, Conservative
Andrew Bridgen, Conservative
Steve Brine, Conservative
James Brokenshire, Conservative
Fiona Bruce, Conservative
Robert Buckland, Conservative
Alex Burghart, Conservative
Matt Rodda, Labour
Conor Burns, Conservative
Alistair Burt, Conservative
Alun Cairns, Conservative
Gregory Campbell, Democratic Unionist Party
James Cartlidge, Conservative
William Cash, Conservative
Maria Caulfield, Conservative
Alex Chalk, Conservative
Rehman Chishti, Conservative
Christopher Chope, Conservative
Danielle Rowley, Labour
Jo Churchill, Conservative
Colin Clark, Conservative
Greg Clark, Conservative
Simon Clarke, Conservative
James Cleverly, Conservative
Geoffrey Clifton-Brown, Conservative
Thérèse Coffey, Conservative
Damian Collins, Conservative
Alberto Costa, Conservative
Robert Courts, Conservative
Chris Ruane, Labour
Geoffrey Cox, Conservative
Stephen Crabb, Conservative
Tracey Crouch, Conservative
Chris Davies, Conservative
David Davies, Conservative
Glyn Davies, Conservative
Mims Davies, Conservative
Philip Davies, Conservative
David Davis, Conservative
Caroline Dinenage, Conservative
Lloyd Russell-Moyle, Labour (Co-op)
Jonathan Djanogly, Conservative
Leo Docherty, Conservative
Julia Dockerill, Conservative
Nigel Dodds, Democratic Unionist Party
Jeffrey Donaldson, Democratic Unionist Party
Michelle Donelan, Conservative
Nadine Dorries, Conservative
Steve Double, Conservative
Oliver Dowden, Conservative
Jackie Doyle-Price, Conservative
Joan Ryan, Labour
Richard Drax, Conservative
James Duddridge, Conservative
David Duguid, Conservative
Iain Smith, Conservative
Alan Duncan, Conservative
Philip Dunne, Conservative
Michael Ellis, Conservative
Tobias Ellwood, Conservative
Charlie Elphicke, Conservative
George Eustice, Conservative
Naz Shah, Labour
Nigel Evans, Conservative
David Evennett, Conservative
Michael Fabricant, Conservative
Michael Fallon, Conservative
Suella Fernandes, Conservative
Mark Field, Conservative
Vicky Ford, Conservative
Kevin Foster, Conservative
Liam Fox, Conservative
Mark Francois, Conservative
Virendra Sharma, Labour
Lucy Frazer, Conservative
George Freeman, Conservative
Mike Freer, Conservative
Marcus Fysh, Conservative
Roger Gale, Conservative
Mark Garnier, Conservative
David Gauke, Conservative
Nusrat Ghani, Conservative
Nick Gibb, Conservative
Cheryl Gillan, Conservative
Barry Sheerman, Labour (Co-op)
Paul Girvan, Democratic Unionist Party
John Glen, Conservative
Zac Goldsmith, Conservative
Robert Goodwill, Conservative
Michael Gove, Conservative
Luke Graham, Conservative
Richard Graham, Conservative
Bill Grant, Conservative
Helen Grant, Conservative
James Gray, Conservative
Brendan O'Hara, Scottish National Party
Tommy Sheppard, Scottish National Party
Chris Grayling, Conservative
Chris Green, Conservative
Damian Green, Conservative
Justine Greening, Conservative
Dominic Grieve, Conservative
Andrew Griffiths, Conservative
Sam Gyimah, Conservative
Kirstene Hair, Conservative
Robert Halfon, Conservative
Luke Hall, Conservative
Paula Sherriff, Labour
Philip Hammond, Conservative
Stephen Hammond, Conservative
Matt Hancock, Conservative
Greg Hands, Conservative
Mark Harper, Conservative
Richard Harrington, Conservative
Rebecca Harris, Conservative
Trudy Harrison, Conservative
Simon Hart, Conservative
John Hayes, Conservative
Gavin Shuker, Labour (Co-op)
Oliver Heald, Conservative
James Heappey, Conservative
Chris Heaton-Harris, Conservative
Peter Heaton-Jones, Conservative
Gordon Henderson, Conservative
Nick Herbert, Conservative
Damian Hinds, Conservative
Simon Hoare, Conservative
George Hollingbery, Conservative
Kevin Hollinrake, Conservative
Tulip Siddiq, Labour
Philip Hollobone, Conservative
Adam Holloway, Conservative
John Howell, Conservative
Nigel Huddleston, Conservative
Eddie Hughes, Conservative
Jeremy Hunt, Conservative
Nick Hurd, Conservative
Alister Jack, Conservative
Margot James, Conservative
Sajid Javid, Conservative
Dennis Skinner, Labour
Ranil Jayawardena, Conservative
Bernard Jenkin, Conservative
Andrea Jenkyns, Conservative
Robert Jenrick, Conservative
Caroline Johnson, Conservative
Gareth Johnson, Conservative
Joseph Johnson, Conservative
Andrew Jones, Conservative
David Jones, Conservative
Marcus Jones, Conservative
Andy Slaughter, Labour
Daniel Kawczynski, Conservative
Gillian Keegan, Conservative
Seema Kennedy, Conservative
Stephen Kerr, Conservative
Greg Knight, Conservative
Kwasi Kwarteng, Conservative
John Lamont, Conservative
Mark Lancaster, Conservative
Pauline Latham, Conservative
Andrea Leadsom, Conservative
Ruth Smeeth, Labour
Phillip Lee, Conservative
Jeremy Lefroy, Conservative
Edward Leigh, Conservative
Oliver Letwin, Conservative
Andrew Lewer, Conservative
Brandon Lewis, Conservative
Julian Lewis, Conservative
Ian Liddell-Grainger, Conservative
David Lidington, Conservative
Emma Pengelly, Democratic Unionist Party
Angela Smith, Labour
Jack Lopresti, Conservative
Jonathan Lord, Conservative
Tim Loughton, Conservative
Craig Mackinlay, Conservative
Rachel Maclean, Conservative
Anne Main, Conservative
Alan Mak, Conservative
Kit Malthouse, Conservative
Scott Mann, Conservative
Paul Masterton, Conservative
Cat Smith, Labour
Paul Maynard, Conservative
Patrick McLoughlin, Conservative
Stephen McPartland, Conservative
Esther McVey, Conservative
Mark Menzies, Conservative
Johnny Mercer, Conservative
Huw Merriman, Conservative
Stephen Metcalfe, Conservative
Maria Miller, Conservative
Amanda Milling, Conservative
Eleanor Smith, Labour
Nigel Mills, Conservative
Anne Milton, Conservative
Andrew Mitchell, Conservative
Damien Moore, Conservative
Penny Mordaunt, Conservative
Nicky Morgan, Conservative
Anne Morris, Independent
David Morris, Conservative
James Morris, Conservative
Wendy Morton, Conservative
Jared O'Mara, Labour
Laura Smith, Labour
David Mundell, Conservative
Sheryll Murray, Conservative
Andrew Murrison, Conservative
Robert Neill, Conservative
Sarah Newton, Conservative
Caroline Nokes, Conservative
Jesse Norman, Conservative
Neil O'Brien, Conservative
Matthew Offord, Conservative
Guy Opperman, Conservative
Nick Smith, Labour
Neil Parish, Conservative
Priti Patel, Conservative
Owen Paterson, Conservative
Mark Pawsey, Conservative
Mike Penning, Conservative
John Penrose, Conservative
Andrew Percy, Conservative
Claire Perry, Conservative
Chris Philp, Conservative
Christopher Pincher, Conservative
Owen Smith, Labour
Dan Poulter, Conservative
Rebecca Pow, Conservative
Victoria Prentis, Conservative
Mark Prisk, Conservative
Mark Pritchard, Conservative
Tom Pursglove, Conservative
Jeremy Quin, Conservative
Will Quince, Conservative
Dominic Raab, Conservative
John Redwood, Conservative
Karin Smyth, Labour
Jacob Rees-Mogg, Conservative
Laurence Robertson, Conservative
Gavin Robinson, Democratic Unionist Party
Mary Robinson, Conservative
Douglas Ross, Conservative
Lee Rowley, Conservative
Amber Rudd, Conservative
Antoinette Sandbach, Conservative
Paul Scully, Conservative
Bob Seely, Conservative
Gareth Snell, Labour (Co-op)
Andrew Selous, Conservative
Jim Shannon, Democratic Unionist Party
Grant Shapps, Conservative
Alok Sharma, Conservative
Alec Shelbrooke, Conservative
David Simpson, Democratic Unionist Party
Keith Simpson, Conservative
Chris Skidmore, Conservative
Chloe Smith, Conservative
Henry Smith, Conservative
Alex Sobel, Labour (Co-op)
Julian Smith, Conservative
Royston Smith, Conservative
Nicholas Soames, Conservative
Anna Soubry, Conservative
Caroline Spelman, Conservative
Mark Spencer, Conservative
Andrew Stephenson, Conservative
John Stevenson, Conservative
Bob Stewart, Conservative
Iain Stewart, Conservative
John Spellar, Labour
Rory Stewart, Conservative
Gary Streeter, Conservative
Mel Stride, Conservative
Graham Stuart, Conservative
Julian Sturdy, Conservative
Rishi Sunak, Conservative
Desmond Swayne, Conservative
Hugo Swire, Conservative
Robert Syms, Conservative
Derek Thomas, Conservative
Keir Starmer, Labour
Ross Thomson, Conservative
Maggie Throup, Conservative
Kelly Tolhurst, Conservative
Justin Tomlinson, Conservative
Michael Tomlinson, Conservative
Craig Tracey, Conservative
David Tredinnick, Conservative
Anne-Marie Trevelyan, Conservative
Elizabeth Truss, Conservative
Tom Tugendhat, Conservative
Chris Stephens, Scottish National Party
Edward Vaizey, Conservative
Shailesh Vara, Conservative
Martin Vickers, Conservative
Theresa Villiers, Conservative
Charles Walker, Conservative
Robin Walker, Conservative
Ben Wallace, Conservative
David Warburton, Conservative
Matt Warman, Conservative
Helen Whately, Conservative
Jo Stevens, Labour
Heather Wheeler, Conservative
Craig Whittaker, Conservative
John Whittingdale, Conservative
Bill Wiggin, Conservative
Gavin Williamson, Conservative
Sammy Wilson, Democratic Unionist Party
Sarah Wollaston, Conservative
Mike Wood, Conservative
William Wragg, Conservative
Jeremy Wright, Conservative
Fiona Onasanya, Labour
Graham Stringer, Labour
Nadhim Zahawi, Conservative
Paul Sweeney, Labour (Co-op)
Jo Swinson, Liberal Democrat
Mark Tami, Labour
Alison Thewliss, Scottish National Party
Gareth Thomas, Labour (Co-op)
Nick Thomas-Symonds, Labour
Emily Thornberry, Labour
Stephen Timms, Labour
Jon Trickett, Labour
Melanie Onn, Labour
Anna Turley, Labour (Co-op)
Karl Turner, Labour
Derek Twigg, Labour
Stephen Twigg, Labour (Co-op)
Liz Twist, Labour
Chuka Umunna, Labour
Keith Vaz, Labour
Valerie Vaz, Labour
Thelma Walker, Labour
Tom Watson, Labour
Chi Onwurah, Labour
Catherine West, Labour
Matt Western, Labour
Alan Whitehead, Labour
Martin Whitfield, Labour
Philippa Whitford, Scottish National Party
