0.01, 620.456, -620.456
0.01, 606.502, 13.9534
0.01, 596.291, 10.211
0.01, 587.18, 9.11135
0.01, 580.57, 6.60943
0.01, 573.628, 6.94206
0.01, 567.558, 6.07074
0.01, 562.602, 4.95575
0.01, 557.646, 4.95546
0.01, 553.983, 3.66364
0.01, 549.937, 4.04582
0.01, 545.377, 4.55988
0.01, 542.175, 3.20179
0.01, 538.628, 3.54753
0.01, 535.136, 3.49161
0.01, 532.024, 3.11245
0.01, 529.236, 2.78764
0.01, 526.873, 2.36343
0.01, 524.413, 2.46009
0.01, 522.026, 2.38675
0.01, 519.756, 2.27008
0.01, 517.671, 2.08473
0.01, 515.608, 2.06299
0.01, 512.966, 2.64201
0.01, 511.524, 1.44148
0.01, 509.537, 1.98709
0.01, 507.716, 1.821
0.01, 505.59, 2.12636
0.01, 503.375, 2.2153
0.01, 502.077, 1.29788
0.01, 500.028, 2.04919
0.01, 498.578, 1.44994
0.01, 497.037, 1.54038
0.01, 495.729, 1.30829
0.01, 494.091, 1.63804
0.01, 493.241, 0.84953
0.01, 491.735, 1.50665
0.01, 490.448, 1.28678
0.01, 489.591, 0.857193
0.01, 487.84, 1.7504
0.01, 486.813, 1.02702
0.01, 485.463, 1.35062
0.01, 484.257, 1.20547
0.01, 483.583, 0.674504
0.01, 482.488, 1.09521
0.01, 480.525, 1.963
0.01, 479.88, 0.645028
0.01, 478.393, 1.48696
0.01, 477.743, 0.650096
0.01, 476.98, 0.762101
0.01, 476.112, 0.868574
0.01, 474.606, 1.50625
0.01, 473.794, 0.811641
0.01, 473.066, 0.727653
0.01, 472.041, 1.02521
0.01, 471.011, 1.02994
0.01, 469.073, 1.93803
0.01, 469.012, 0.0610569
0.01, 468.804, 0.207648
0.01, 467.687, 1.11713
0.01, 466.309, 1.37839
0.01, 466.259, 0.0502193
0.01, 465.102, 1.15697
0.01, 464.921, 0.180582
0.01, 463.803, 1.11769
0.01, 463.012, 0.791828
0.01, 461.883, 1.1284
0.01, 461.877, 0.00660842
0.01, 461.089, 0.787414
0.01, 460.659, 0.429743
0.01, 459.737, 0.922322
0.01, 459.101, 0.636519
0.01, 458.469, 0.631468
0.01, 457.949, 0.519894
0.01, 457.323, 0.625945
0.01, 456.981, 0.342786
0.01, 455.766, 1.21504
0.01, 455.163, 0.602488
0.01, 454.277, 0.885578
0.01, 454.201, 0.0760936
0.01, 453.143, 1.0585
0.01, 453.067, 0.0753962
0.01, 452.553, 0.514202
0.01, 452.434, 0.119123
0.01, 451.242, 1.19225
0.01, 451.229, 0.0129299
0.01, 451.044, 0.185157
0.01, 450.75, 0.294011
0.01, 449.908, 0.842273
0.01, 449.297, 0.610828
0.01, 448.431, 0.866018
0.01, 448.384, 0.0468143
0.01, 447.413, 0.970977
0.01, 446.935, 0.477846
0.01, 446.467, 0.467813
0.01, 445.715, 0.751756
0.01, 445.516, 0.199108
0.01, 445.416, 0.100861
0.01, 444.952, 0.463685
0.01, 444.589, 0.362852
0.01, 444.102, 0.486767
0.01, 444.102, 0
0.01, 444.005, 0.0972971
0.01, 443.506, 0.498487
0.01, 443.506, 0
0.01, 442.969, 0.53729
0.01, 442.287, 0.682392
0.01, 442.17, 0.116779
0.01, 441.667, 0.50248
0.01, 441.485, 0.182185
0.01, 441.152, 0.333382
0.01, 441.089, 0.0632748
0.01, 440.701, 0.387483
0.01, 440.473, 0.227756
0.01, 440.473, 0
0.01, 440.47, 0.00385565
0.01, 439.777, 0.692389
0.01, 439.777, 0
0.01, 439.68, 0.0972218
0.01, 439.502, 0.177956
0.01, 439.211, 0.291401
0.01, 438.912, 0.298457
0.01, 438.912, 0
0.01, 438.3, 0.612307
0.01, 437.471, 0.829297
0.01, 437.471, 0
0.01, 437.471, 0
0.01, 437.253, 0.217352
0.01, 437.072, 0.181164
0.01, 437.072, 0
0.01, 436.686, 0.386377
0.01, 436.625, 0.0606496
0.01, 436.34, 0.285367
0.01, 436.081, 0.258102
0.01, 435.432, 0.649534
0.01, 434.972, 0.460171
0.01, 434.837, 0.13527
0.01, 434.606, 0.230684
0.01, 434.336, 0.270279
0.01, 433.88, 0.455345
0.01, 433.88, -1.13687e-13
0.01, 433.664, 0.216641
0.01, 433.662, 0.0010928
0.01, 433.15, 0.512644
0.01, 432.807, 0.343169
