 Poulter,-0.087806,-0.311907,-0.225093,Blue
Adam Afriyie,-0.017194,-0.037434,-0.021468,Blue
Adam Holloway,0.107724,0.100432,-0.040633,Blue
Alan Duncan,0.130013,0.09415,-0.140964,Blue
Alan Haselhurst,-0.016752,-0.004941,-0.030889,Blue
Alan Mak,0.010889,-0.044504,-0.018208,Blue
Alberto Costa,-0.012421,0.066831,0.028613,Blue
Alec Shelbrooke,-0.033198,0.105223,-0.015724,Blue
Alex Chalk,-0.056324,0.021702,-0.053403,Blue
Alistair Burt,0.044994,-0.018795,-0.029565,Blue
Alok Sharma,0.008343,-0.005619,-0.078934,Blue
Alun Cairns,-0.11752,-0.024114,-0.036835,Blue
Amanda Milling,0.031647,0.004705,-0.037144,Blue
Amanda Solloway,-0.013266,-0.019351,-0.021245,Blue
Amber Rudd,-0.070862,0.042644,-0.019639,Blue
Andrea Jenkyns,-0.018812,0.096375,-0.000101,Blue
Andrea Leadsom,0.068861,-0.079955,-0.008683,Blue
Andrew Bingham,0.029289,0.035392,-0.018176,Blue
Andrew Bridgen,0.005523,-0.034494,-0.023605,Blue
Andrew Griffiths,0.054605,0.025489,-0.068522,Blue
Andrew Jones,-0.00034,-0.006697,-0.036653,Blue
Andrew Mitchell,-0.085106,-0.131689,-0.053431,Blue
Andrew Murrison,-0.05665,0.070959,-0.032873,Blue
Andrew Percy,-0.027762,-0.045209,-0.013694,Blue
Andrew Rosindell,-0.040711,0.034121,0.068464,Blue
Andrew Selous,-0.007435,-0.014364,-0.015588,Blue
Andrew Stephenson,-0.020053,0.127337,-0.025925,Blue
Andrew Turner,-0.049098,-0.029217,-0.018201,Blue
Andrew Tyrie,0.040138,-0.077753,-0.154782,Blue
Angela Watkinson,0.139599,-0.265567,0.09325,Blue
Anna Soubry,-0.039255,-0.023407,0.039707,Blue
Anne Main,0.071476,0.082293,0.017144,Blue
Anne Marie Trevelyan,-0.023939,-0.016283,0.026293,Blue
Anne Milton,0.02086,0.01427,-0.000578,Blue
Antoinette Sandbach,-0.009456,-0.045201,0.013747,Blue
Ben Gummer,-0.051649,0.042985,-0.002062,Blue
Ben Howlett,-0.016254,-0.010669,-0.09008,Blue
Ben Wallace,0.112054,-0.056678,-0.044344,Blue
Bernard Jenkin,-0.017642,0.022547,-0.121908,Blue
Bill Wiggin,0.03567,-0.007956,-0.017586,Blue
Bob Blackman,-0.090598,-0.005417,-0.038525,Blue
Bob Stewart,0.03259,-0.059305,0.064765,Blue
Boris Johnson,-0.014422,-0.104182,-0.202567,Blue
Brandon Lewis,-0.0524,0.04431,0.024447,Blue
Byron Davies,0.015056,-0.075427,-0.018336,Blue
Caroline Ansell,0.027672,0.040281,-0.027016,Blue
Caroline Dinenage,-0.077065,-0.040735,-0.009068,Blue
Caroline Johnson,-0.147019,-0.27447,0.302504,Blue
Caroline Nokes,-0.030688,0.004556,-0.039035,Blue
Caroline Spelman,0.015248,-0.034298,0.04798,Blue
Charles Walker,-0.01021,0.081169,0.064819,Blue
Charlie Elphicke,-0.024223,0.000052,-0.019933,Blue
Charlotte Leslie,-0.103308,-0.006879,-0.051503,Blue
Cheryl Gillan,0.131725,0.06171,0.041403,Blue
Chloe Smith,0.157099,0.206771,0.089409,Blue
Chris Davies,-0.069221,0.09143,0.01714,Blue
Chris Grayling,0.031154,0.038567,0.048076,Blue
Chris Green,0.00063,0.014723,-0.023961,Blue
Chris Heaton Harris,0.006092,-0.009479,-0.1939,Blue
Chris Philp,-0.009557,0.016533,-0.005455,Blue
Chris Skidmore,-0.000738,-0.022468,-0.050472,Blue
Christopher Chope,-0.143563,0.046833,-0.004643,Blue
Christopher Pincher,-0.068554,0.037173,0.043771,Blue
Chris White,-0.041954,0.022851,0.040942,Blue
Claire Perry,0.02247,0.017389,-0.037646,Blue
Conor Burns,-0.017784,0.033725,-0.019393,Blue
Craig Mackinlay,-0.00515,-0.006482,-0.041833,Blue
Craig Tracey,-0.029537,0.040963,-0.009997,Blue
Craig Whittaker,-0.02226,0.005543,-0.022039,Blue
Craig Williams,-0.027996,-0.010309,0.008802,Blue
Crispin Blunt,0.022362,0.098423,-0.149686,Blue
Damian Collins,-0.025652,0.045789,-0.066079,Blue
Damian Green,0.004605,-0.024464,-0.02287,Blue
Damian Hinds,0.004974,0.01958,-0.016151,Blue
Daniel Kawczynski,-0.021323,-0.107268,-0.026464,Blue
Dan Poulter,0.330604,-0.123579,-0.164732,Blue
David Amess,-0.002563,0.030473,-0.000664,Blue
David Burrowes,0.0032,0.019791,-0.087573,Blue
David Cameron,-0.007524,0.269897,-0.117107,Blue
David Davies,-0.059397,-0.009516,0.046799,Blue
David Davis,0.039841,0.159754,0.163523,Blue
David Evennett,0.006214,0.074659,-0.04586,Blue
David Gauke,-0.020274,0.110876,-0.028469,Blue
David Jones,0.00349,0.084723,-0.064793,Blue
David Lidington,0.036965,0.000935,-0.06051,Blue
David Mackintosh,-0.026402,-0.03614,0.02197,Blue
David Morris,-0.014103,0.031635,-0.024567,Blue
David Mowat,-0.015711,-0.026022,0.001337,Blue
David Mundell,0.16154,0.106361,0.065483,Blue
David Nuttall,0.100781,0.06925,-0.065539,Blue
David Rutley,-0.008851,0.025746,-0.01571,Blue
David Tredinnick,-0.010186,-0.045045,-0.004793,Blue
David Warburton,-0.007947,-0.078464,-0.004683,Blue
Derek Thomas,-0.00096,0.040218,0.006647,Blue
Desmond Swayne,-0.011474,0.010226,-0.021447,Blue
Dominic Grieve,0.043133,0.064082,0.044126,Blue
Dominic Raab,0.057184,-0.011708,-0.026482,Blue
Edward Argar,-0.006268,0.014416,-0.038601,Blue
Edward Garnier,-0.001343,0.029849,-0.044469,Blue
Edward Leigh,0.053586,0.057199,-0.085646,Blue
Edward Timpson,0.028394,0.012745,0.02312,Blue
Edward Vaizey,0.126719,-0.034921,0.025455,Blue
Elizabeth Truss,0.041213,-0.14865,0.001572,Blue
Eric Pickles,-0.037746,-0.070166,-0.106288,Blue
Fiona Bruce,0.02771,-0.008329,-0.063984,Blue
Flick Drummond,0.007313,0.011253,-0.004226,Blue
Gareth Johnson,0.010998,-0.001517,0.031458,Blue
Gary Streeter,0.008106,-0.007081,-0.049634,Blue
Gavin Barwell,-0.031823,0.014131,-0.075726,Blue
Gavin Williamson,-0.024589,0.023366,-0.028965,Blue
Geoffrey Clifton Brown,0.018848,0.068692,-0.028787,Blue
Geoffrey Cox,0.048405,0.057894,0.093625,Blue
George Eustice,-0.070458,0.000028,0.044304,Blue
George Freeman,0.056729,-0.029131,-0.030625,Blue
George Hollingbery,0.023448,-0.099763,-0.086935,Blue
George Osborne,-0.084635,0.263154,0.225736,Blue
Gerald Howarth,-0.131748,-0.052701,0.005179,Blue
Glyn Davies,0.028072,0.023161,-0.050016,Blue
Gordon Henderson,0.004724,-0.007788,-0.013884,Blue
Graham Brady,0.048793,-0.028797,0.03598,Blue
Graham Evans,-0.006409,0.007212,-0.02936,Blue
Graham Stuart,0.129862,0.053477,0.006763,Blue
